approach;sample_size;repetition;trace_variants;deviating_traces;total_deviations;num_deviating_activities;fitness;time_partitioning;time_sampling;time_alignments
Feature;400;7;301;326;3639;20;0.7188441628679595;2.381920099258423;40.36962532997131;121.95031189918518
Feature;400;8;286;309;3866;21;0.7081823671497585;2.3789143562316895;51.65527105331421;145.7023642063141
Feature;400;9;281;305;3502;19;0.7173755144863208;2.3808162212371826;49.258859395980835;149.1273422241211
Feature;500;0;383;401;4920;20;0.7104690166539163;2.3697781562805176;54.15392756462097;157.10894417762756
Feature;500;1;380;409;5018;20;0.7109447004608295;2.3577709197998047;58.488489866256714;117.74470829963684
Feature;500;2;380;404;5017;20;0.7040117994100294;2.5602033138275146;69.32411241531372;137.0512180328369
Feature;500;3;345;385;4566;20;0.7134069796635703;2.3716542720794678;70.90216112136841;49.00578022003174
Feature;500;4;370;389;4621;21;0.7092796476879522;2.376340389251709;54.052977085113525;138.0965211391449
Feature;500;5;380;406;5019;21;0.7022071911712353;2.3546602725982666;59.685924768447876;101.06662511825562
Feature;500;6;378;401;4962;21;0.7072911750825861;2.609785556793213;53.38705229759216;105.18472957611084
Feature;500;7;381;401;4631;20;0.7283552322853121;2.3738996982574463;65.05775737762451;72.65973424911499
Feature;500;8;370;397;4995;20;0.6961678832116789;2.3410263061523438;76.0222864151001;105.48660016059875
Feature;500;9;373;406;4781;21;0.7087774867515381;2.3506014347076416;61.839327335357666;91.23992252349854
Sequence;100;0;92;90;980;19;0.7371949584338965;0.8227038383483887;0.07233476638793945;15.728673458099365
Sequence;100;1;85;89;1090;19;0.6943353897924847;0.8176071643829346;0.0750279426574707;23.5757098197937
Sequence;100;2;91;90;1437;19;0.673927842069435;0.8220651149749756;0.33669233322143555;19.636805295944214
Sequence;100;3;93;93;1028;19;0.7154719070024911;0.8178145885467529;0.07509779930114746;32.33573293685913
Sequence;100;4;72;89;817;19;0.7692742163230726;0.820106029510498;0.08000493049621582;2.903303623199463
