approach;sample_size;repetition;trace_variants;deviating_traces;total_deviations;num_deviating_activities;fitness;time_partitioning;time_sampling;time_alignments
Feature;300;7;237;238;538;13;0.9130153597413097;0.601146936416626;3.3216018676757812;0.005912065505981445
Feature;300;8;241;243;543;14;0.9157094070164545;0.5955154895782471;3.1684014797210693;0.006025791168212891
Feature;300;9;250;247;544;14;0.9198231392778187;0.6011519432067871;3.354443311691284;0.006338357925415039
Feature;400;0;328;326;701;13;0.9189314213021857;0.5981435775756836;5.485926389694214;0.009869813919067383
Feature;400;1;324;331;721;13;0.9164735866543096;0.5952696800231934;5.183840990066528;0.00800943374633789
Feature;400;2;319;327;705;14;0.9165976576363422;0.6510300636291504;4.987434387207031;0.008132457733154297
Feature;400;3;314;321;709;13;0.9155550262029538;0.605719804763794;5.049493789672852;0.00813436508178711
Feature;400;4;320;324;714;13;0.915020233277791;0.5974538326263428;5.104672908782959;0.007867097854614258
Feature;400;5;312;318;716;14;0.9121041001718635;0.5980985164642334;4.451680898666382;0.007496833801269531
Feature;400;6;320;321;726;14;0.9136125654450262;0.5907084941864014;4.677573919296265;0.007650136947631836
Feature;400;7;325;330;750;13;0.9119821617181082;0.6030921936035156;4.5756447315216064;0.007657766342163086
Feature;400;8;330;326;712;14;0.9181421016325593;0.5903458595275879;5.173455715179443;0.00801849365234375
